id,question,choices,answerKey
Mercury_7150360,"When plants undergo photosynthesis, a reaction produces sugar, oxygen, and water. During respiration, stored energy from the products of photosynthesis is converted to usable energy. In what form is the energy stored prior to use in respiration?","{'text': ['chemical energy', 'kinetic energy', 'light energy', 'heat energy'], 'label': ['A', 'B', 'C', 'D']}",A
Mercury_7071558,Which of the following is a typical example of a unicellular organism?,"{'text': ['earthworm', 'bacteria', 'fungi', 'green algae'], 'label': ['A', 'B', 'C', 'D']}",B
Mercury_7245403,"Over geologic time, global mean sea level has varied significantly. Which change is most likely responsible for an increase in global mean sea level?","{'text': ['erosion of sediment from a mountain range', 'mass extinction of marine organisms', 'formation of an ocean trench', 'melting of polar ice caps'], 'label': ['A', 'B', 'C', 'D']}",D
Mercury_SC_401822,Which body system is most responsible for the removal of waste?,"{'text': ['skeletal system', 'nervous system', 'muscular system', 'excretory system'], 'label': ['A', 'B', 'C', 'D']}",D
OHAT_2007_8_23,In which environment is white fur color an advantage for survival?,"{'text': ['desert', 'grassland', 'arctic tundra', 'temperate forest'], 'label': ['A', 'B', 'C', 'D']}",C
Mercury_7212380,Which of these will best separate iron filings from sand?,"{'text': ['water', 'a magnifying glass', 'a magnet', 'rubbing alcohol'], 'label': ['A', 'B', 'C', 'D']}",C
Mercury_414132,Which of these is the chemical symbol for magnesium?,"{'text': ['Ma', 'Mg', 'Mn', 'Mu'], 'label': ['A', 'B', 'C', 'D']}",B
Mercury_7121800,Which of the following is most likely to lead to error in an experiment?,"{'text': ['bias', 'repeated trials', 'peer review', 'use of a control'], 'label': ['A', 'B', 'C', 'D']}",A
MCAS_2001_8_2,Which best describes transportation technology?,"{'text': ['a system that is used to move people and products', 'an enterprise that changes raw materials into goods', 'the building and finishing of structures', 'the conversion of mechanical energy into heat energy'], 'label': ['A', 'B', 'C', 'D']}",A
Mercury_7121765,"In a gasoline-powered car, chemical energy from gasoline is transformed to make the car move. The motion of the car is what form of energy?","{'text': ['radiant energy', 'nuclear energy', 'electrical energy', 'mechanical energy'], 'label': ['A', 'B', 'C', 'D']}",D
Mercury_7011165,Which characteristic is affected by interactions with the environment?,"{'text': ['weight', 'eye color', 'blood type', 'handedness'], 'label': ['A', 'B', 'C', 'D']}",A
Mercury_7033793,Which is the greatest impact humans have had on the carbon cycle?,"{'text': ['clear-cutting forests', 'manufacturing plastics', 'burning fossil fuels', 'growing agricultural crops'], 'label': ['A', 'B', 'C', 'D']}",C
Mercury_SC_400301,The floating arrow on a compass always points towards the,"{'text': ['west.', 'east.', 'south.', 'north.'], 'label': ['A', 'B', 'C', 'D']}",D
NYSEDREGENTS_2016_4_21,"Which color shirt will reflect the most light on a hot, sunny day?","{'text': ['black', 'blue', 'red', 'white'], 'label': ['A', 'B', 'C', 'D']}",D
MCAS_2005_9_13,"A 10 g sample of aluminum and a 10 g sample of iron were each heated by 100 joules of energy. The temperature of the aluminum sample rose 11°C, while the temperature of the iron sample increased 23°C. Which statement best accounts for these results?","{'text': ['Iron is twice as dense as aluminum.', 'Atoms of aluminum are smaller than atoms of iron.', 'Using equal masses results in similar heat capacities.', 'The specific heat of iron is less than that of aluminum.'], 'label': ['A', 'B', 'C', 'D']}",D
MCAS_1999_4_31,"If its food supply in a field decreases, the mouse population in that field will probably","{'text': ['increase.', 'decrease.', 'remain the same.', 'become extinct.'], 'label': ['A', 'B', 'C', 'D']}",B
Mercury_7234413,Overuse of soil for farming causes local disruptions of several Earth subsystems. Which of these is a part of the biogeochemical cycle that experiences the most severe local disruption?,"{'text': ['release of carbon into the atmosphere', 'release of oxygen into the atmosphere', 'cycling phosphorus into the soil', 'cycling hydrogen into the soil'], 'label': ['A', 'B', 'C', 'D']}",C
MCAS_2007_8_5167,Which of the following is an example of a physical change but not a chemical change?,"{'text': ['A log gives off heat and light as it burns.', 'A tree stores energy from the Sun in its fruit.', 'A penny lost in the grass slowly changes color.', 'A water pipe freezes and cracks on a cold night.'], 'label': ['A', 'B', 'C', 'D']}",D
Mercury_7080938,"While conducting an investigation on refraction, a teacher uses a red laser pointer to show how a beam of light is affected as it passes through several glass objects. The teacher should make sure that the","{'text': ['room is totally dark.', 'light source is ultraviolet.', 'beam of light does not travel toward the students.', 'room walls are shielded with insulating material.'], 'label': ['A', 'B', 'C', 'D']}",C
Mercury_SC_408443,One student wrote a report about an investigation in which fertilizer was added to tomato plants. Which information from that student's report would most help a second student repeat the investigation?,"{'text': ['the amount of fertilizer added', 'the height of the fertilized plants', 'the size of each tomato produced', 'the number of tomatoes produced'], 'label': ['A', 'B', 'C', 'D']}",A
VASoL_2007_3_5,A student wants to look under a heavy rock. Which simple machine would be BEST to use to lift the rock?,"{'text': ['Wheel and axle', 'Lever', 'Inclined plane', 'Screw'], 'label': ['A', 'B', 'C', 'D']}",B
Mercury_403680,Rust is a compound with the formula Fe_{2}O_{3}. Which elements combine to form rust?,"{'text': ['iron and water', 'iron and oxygen', 'iron and air', 'iron and acid'], 'label': ['A', 'B', 'C', 'D']}",B
Mercury_400223,The chemical equation below shows a reaction of copper (Cu) with silver nitrate (AgNO_{3}) yielding silver (Ag) and copper(II) nitrate (Cu(NO_{3})_{2}) Cu + 2AgNO_{3} -> 2Ag + Cu(NO_{3})_{2} Silver and copper(II) nitrate are called the,"{'text': ['reactants.', 'products.', 'catalysts.', 'inhibitors.'], 'label': ['A', 'B', 'C', 'D']}",B
Mercury_184625,What role does the centromere play in cellular reproduction?,"{'text': ['It is the area where microtubules are formed.', 'It is the area where the nucleus is during cell division.', 'It is the area of alignment for the chromosomes.', 'It is the area of attachment for chromatids.'], 'label': ['A', 'B', 'C', 'D']}",D
MCAS_2005_8_14,"If 1 kg of the compound toluene melts at -95°C, then 500 g of toluene will","{'text': ['melt at -47.5°C.', 'melt at -95°C.', 'boil at 95°C.', 'boil at 47.5°C.'], 'label': ['A', 'B', 'C', 'D']}",B
Mercury_409478,"A calculation based on the chemical energy of gasoline shows that a car should be able to go 100 miles on a gallon of fuel. When the car was driven on a test track, the car only went 25 miles on a gallon of fuel. What accounts for most of the difference?","{'text': ['the mass of the driver and the fuel carried by the car', 'the wind resistance between the car and the air nearby', 'the waste heat from the combustion of fuel in the engine', 'the friction between the tires and the surface of the track'], 'label': ['A', 'B', 'C', 'D']}",C
Mercury_7038325,A student wants to find the relationship between the diameter of several plastic disks and the circumference of each disk. Which of these types of graphs should be constructed to determine this relationship?,"{'text': ['pie graph', 'line graph', 'scatterplot', 'box-and-whisker plot'], 'label': ['A', 'B', 'C', 'D']}",B
Mercury_SC_402624,"When light is bounced off a mirror, the light is","{'text': ['reflected.', 'refracted.', 'absorbed.', 'diffracted.'], 'label': ['A', 'B', 'C', 'D']}",A
Mercury_185430,Which of the following sentences best explains what happens when puddles evaporate?,"{'text': ['The water absorbs into the ground.', 'The particles of matter move more slowly.', 'The water changes from one form to another.', 'The particles of matter move closer together.'], 'label': ['A', 'B', 'C', 'D']}",C
Mercury_SC_416101,Plants on hills keep dirt in place during a rain storm. Plant roots grow into the dirt and keep the dirt from moving. Why do roots grow into the dirt?,"{'text': ['to release gases', 'to release water', 'to absorb energy', 'to absorb nutrients'], 'label': ['A', 'B', 'C', 'D']}",D
NYSEDREGENTS_2007_8_12,"In animal skin tissue, cell division is responsible for","{'text': ['growth and repair', 'sexual reproduction', 'obtaining energy', 'production of sex cells'], 'label': ['1', '2', '3', '4']}",1
Mercury_7239680,Which process drives most of the ATP synthesis in a chloroplast?,"{'text': ['flow of protons across an electrochemical gradient', 'flow of tRNA across an electrochemical gradient', 'exposure of ADP to electromagnetic waves', 'exposure of carbohydrates to electromagnetic waves'], 'label': ['A', 'B', 'C', 'D']}",A
NAEP_2000_8_S21+9,Which of the following is most consistent with the modern theory of evolution?,"{'text': ['Parents pass their physical traits to their offspring; those offspring with traits that help them survive in the environment are able to reproduce.', 'Parents change their physical traits in order to survive in the environment, then those parental traits are passed to their offspring.', 'Life on this planet came from another planet far out in space.', 'Living organisms have not changed for hundreds of millions of years.'], 'label': ['A', 'B', 'C', 'D']}",A
Mercury_7164115,Felicia investigated whether water color affected how fast the water heated in sunlight. She poured tap water into five beakers and placed food coloring in four out of the five beakers. Felicia then used a thermometer to measure the temperature of the water in each of the beakers. Which of these was used as control in her investigation?,"{'text': ['mixing the food coloring in water', 'testing the beaker of uncolored tap water', 'using the same amount of water in each trial', 'testing the colored water samples at different times'], 'label': ['A', 'B', 'C', 'D']}",B
Mercury_7085365,One process in the formation of sedimentary rocks is when rocks are,"{'text': ['compressed by moving plates.', 'heated and subjected to high pressure.', 'broken up and deposited in layers.', 'moved up along fault planes.'], 'label': ['A', 'B', 'C', 'D']}",C
AIMS_2008_4_12,Western coral snakes have a striped color pattern and are poisonous. Arizona mountain king snakes look like western coral snakes but are not poisonous. The color pattern of the Arizona mountain king snake is an example of,"{'text': ['camouflage.', 'mimicry.', 'mutualism.', 'parasitism.'], 'label': ['A', 'B', 'C', 'D']}",B
Mercury_400056,Which plant trait is inherited?,"{'text': ['the shape of its leaves', 'the amount of water it receives', 'the number of minerals it absorbs from soil', 'the level of sunlight to which it is exposed'], 'label': ['A', 'B', 'C', 'D']}",A
Mercury_SC_406463,"A student put 200 milliliters (mL) of water into a pot, sets the pot on a burner, and heats the water to boil. When the pot is taken off the burner, it contains only 180 milliliters (mL) of water. What happened to the rest of the water?","{'text': ['It was used up.', 'It condensed.', 'It was absorbed by the heat.', 'It turned into water vapor.'], 'label': ['A', 'B', 'C', 'D']}",D
Mercury_SC_408702,Howie put his plants under a plant light. What was he helping his plants do by providing light?,"{'text': ['make food', 'attract insects', 'release pollen', 'grow roots'], 'label': ['A', 'B', 'C', 'D']}",A
Mercury_406518,Which lists the diameter of the planets in order from smallest to largest?,"{'text': ['Venus, Earth, Mercury, Mars', 'Earth, Mars, Venus, Mercury', 'Mars, Mercury, Earth, Venus', 'Mercury, Mars, Venus, Earth'], 'label': ['A', 'B', 'C', 'D']}",D
Mercury_SC_410872,The aloe plant can absorb a lot of water during a rain shower. The extra water is stored in its leaves. The ability to store water in its leaves is most likely an adaptation to which type of environment?,"{'text': ['one near the ocean', 'one with dry conditions', 'one with a variety of organisms', 'one that receives a lot of sunlight'], 'label': ['A', 'B', 'C', 'D']}",B
Mercury_7107258,"When stratospheric ozone levels are reduced, the amount of ultraviolet radiation hitting Earth increases. Ozone depletion is most often caused","{'text': ['by the reversal of the magnetic field of Earth.', 'when fluorocarbons are released into the atmosphere.', 'when electromagnetic waves from the Sun increase.', 'by abrupt changes in weather and climate patterns.'], 'label': ['A', 'B', 'C', 'D']}",B
MCAS_2010_5_11992,Owen tested a physical property of a mineral. He rubbed a mineral sample on a piece of white tile. The mineral left a red mark on the tile. Which of the following physical properties of the mineral was Owen most likely testing?,"{'text': ['cleavage', 'hardness', 'luster', 'streak'], 'label': ['A', 'B', 'C', 'D']}",D
TIMSS_2011_4_pg91,Which of these animals has a young form that looks the most like the adult form?,"{'text': ['moth', 'human', 'frog', 'butterfly'], 'label': ['A', 'B', 'C', 'D']}",B
Mercury_7093275,Two tectonic plates pushing toward each other cause intense heat and pressure in Earth's crust. Into which will crust material be changed by heat and pressure?,"{'text': ['fossils', 'sediments', 'igneous rock', 'metamorphic rock'], 'label': ['A', 'B', 'C', 'D']}",D
Mercury_7083493,A student states that plants grow taller when grown in natural light than they do in artificial light. Which method is the best way to determine if the statement is fact or opinion?,"{'text': ['conduct a controlled experiment', 'discuss the statement with other students', 'ask several teachers their thoughts', 'propose a scientific conclusion'], 'label': ['A', 'B', 'C', 'D']}",A
Mercury_SC_401793,Which object is powered by an electrical circuit?,"{'text': ['a drum', 'a flashlight', 'a matchstick', 'a wind-up toy'], 'label': ['A', 'B', 'C', 'D']}",B
Mercury_7245560,"Which concept supports the endosymbiotic origin of complex, eukaryotic double-membrane structures?","{'text': ['Mitochondria and chloroplasts arise from preexisting mitochondria and chloroplasts.', 'Mitochondria and chloroplasts arise from preexisting endomembrane systems.', 'Mitochondria and chloroplasts are synthesized in the nucleus.', 'Mitochondria and chloroplasts are synthesized in ribosomes.'], 'label': ['A', 'B', 'C', 'D']}",A
VASoL_2010_5_1,Which of these human activities most relies on high-quality soil?,"{'text': ['Hiking', 'Hunting', 'Coal mining', 'Growing crops'], 'label': ['A', 'B', 'C', 'D']}",D
Mercury_SC_415075,What is an example of a shelter in an ecosystem?,"{'text': ['a gray squirrel eating an acorn', 'a raccoon in a hollow log', 'a blue whale migrating', 'a tick feeding on a coyote'], 'label': ['A', 'B', 'C', 'D']}",B
Mercury_7026408,Some areas of the world are experiencing more desert-like conditions. This change most favors survival of species with the ability to do which of the following?,"{'text': ['consume large amounts of food', 'become dormant for long periods', 'sense infrared and ultraviolet light', 'transpire water through the skin to the atmosphere'], 'label': ['A', 'B', 'C', 'D']}",B
NAEP_2009_4_S11+2,Roger poured water over a pile of sand. Some of the sand washed away. This process is similar to which of the following?,"{'text': ['The eruption of a volcano', 'The erosion of the walls of a canyon', 'The uplifting of mountain ranges', 'The forming of dunes or mounds in a desert'], 'label': ['A', 'B', 'C', 'D']}",B
Mercury_7081428,"When an earthquake wave passes from the crust to the mantle, the wave","{'text': ['reverses direction.', 'changes speed.', 'increases energy.', 'stops moving.'], 'label': ['A', 'B', 'C', 'D']}",B
OHAT_2008_5_20,A student wraps a wire around an iron nail. The student then connects the wire to a battery. The nail attracts another nail and they stick together. What force holds the two nails together?,"{'text': ['gravitational force', 'magnetic force', 'electric force', 'friction force'], 'label': ['A', 'B', 'C', 'D']}",B
MSA_2015_5_8,Natural processes cause rapid and slow changes to Earth's surface. Which event causes changes to Earth's surface most rapidly?,"{'text': ['an earthquake shaking the ground', 'sediment washing into a bay', 'a rainstorm weathering rock', 'water flowing in stream'], 'label': ['A', 'B', 'C', 'D']}",A
Mercury_7219135,"Since 1961, Nevada has led the United States in production of which resource?","{'text': ['gold', 'uranium', 'lumber', 'iron'], 'label': ['A', 'B', 'C', 'D']}",A
Mercury_SC_407594,A class is testing the effect of exercise on heart rate. The heart rate of two students before exercise is compared to their heart rate after running around a track. Which procedure will most likely help the class correctly compare the results of the two students?,"{'text': ['test students who are the same height', 'have the students run on the same day', 'measure the distance each student runs', 'have the students run for the same amount of time'], 'label': ['A', 'B', 'C', 'D']}",D
Mercury_7043505,Which interaction within an ecosystem is characterized by gradual change from one community of organisms to another?,"{'text': ['symbiosis', 'food webs', 'energy pyramids', 'succession'], 'label': ['A', 'B', 'C', 'D']}",D
Mercury_SC_401733,The continuous changes of a seed to an adult plant that produces seeds is known as a,"{'text': ['lunar cycle.', 'weekly cycle.', 'daily cycle.', 'life cycle.'], 'label': ['A', 'B', 'C', 'D']}",D
Mercury_SC_402087,"When someone plays the flute, sound is produced because the air in the flute is","{'text': ['hot.', 'neutral.', 'vibrating.', 'vaporizing.'], 'label': ['A', 'B', 'C', 'D']}",C
MSA_2015_5_24,Scientists compared Pluto with other objects in the solar system and found that Pluto is smaller than Earth's moon. This finding caused scientists to question whether Pluto is a planet because,"{'text': [""Pluto gets less sunlight than Earth's moon"", 'the other planets are much larger than Pluto', 'the other planets have moons and Pluto does not', 'Pluto rotates on its axis and the other planets do not'], 'label': ['A', 'B', 'C', 'D']}",B
Mercury_SC_401233,"When an iron nail wrapped in a copper wire is attached to a circuit, it forms","{'text': ['a battery.', 'an engine.', 'an insulator.', 'an electromagnet.'], 'label': ['A', 'B', 'C', 'D']}",D
Mercury_7217788,Which gas accounts for the largest percentage of greenhouse gases in the atmosphere?,"{'text': ['carbon monoxide', 'carbon dioxide', 'nitrous oxide', 'water vapor'], 'label': ['A', 'B', 'C', 'D']}",D
ACTAAP_2007_7_20,Which human body system attacks viruses and bacteria once they have invaded the body?,"{'text': ['circulatory', 'endocrine', 'digestive', 'immune'], 'label': ['A', 'B', 'C', 'D']}",D
Mercury_7221165,The atoms that make up oxygen gas,"{'text': ['share two covalent bonds.', 'have a definite shape.', 'share a pair of neutrons.', 'have two free electrons.'], 'label': ['A', 'B', 'C', 'D']}",A
VASoL_2007_3_36,A student wants to cut a piece of string for a class activity. The length of the string is measured BEST in which units?,"{'text': ['Gallons', 'Liters', 'Miles', 'Centimeters'], 'label': ['A', 'B', 'C', 'D']}",D
Mercury_400498,"If the atomic mass number of an atom is 35, which statement is most accurate?","{'text': ['The atom is not an isotope.', 'The atomic number is less than 17.', 'The atom has an odd number of neutrons.', 'The number of protons does not equal the number of neutrons.'], 'label': ['A', 'B', 'C', 'D']}",D
Mercury_7188388,Biotic components need to be recycled through an ecosystem. Which type of organisms are best able to recycle nutrients back into the ecosystem?,"{'text': ['decomposers', 'predators', 'producers', 'scavengers'], 'label': ['A', 'B', 'C', 'D']}",A
Mercury_7136115,"Roger visited his grandfather who lives on a farm. While he was there, he helped his grandfather move hay out of the barn. As Roger worked in the barn he began sneezing. Which system of the body most likely caused Roger to sneeze?","{'text': ['circulatory', 'excretory', 'digestive', 'immune'], 'label': ['A', 'B', 'C', 'D']}",D
ACTAAP_2013_7_9,Why should plants be included in investigations about the water cycle?,"{'text': ['Plants speed up the water cycle by removing carbon from the air.', 'Plants start the water cycle when they make water in photosynthesis.', 'Plants are part of the water cycle through the process of transpiration.', 'Plants stop the water cycle because they absorb it and stop the flow to streams.'], 'label': ['A', 'B', 'C', 'D']}",C
AKDE&ED_2012_4_19,Which statement best identifies a basic need of all animals?,"{'text': ['They need to eat.', 'They need to hide.', 'They need to jump.', 'They need to smell.'], 'label': ['A', 'B', 'C', 'D']}",A
